CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster,ClusterLabel
0,1,1428,1755276.64,5,5,5,15,Champions,1,High Value - Active
12346,326,1,77183.6,1,1,5,7,Potential Loyalists,2,Low Value - Inactive
12347,2,7,4310.0,5,5,5,15,Champions,3,High Value - Active
12348,75,4,1797.24,2,4,4,10,Loyal Customers,3,High Value - Active
12349,19,1,1757.55,4,1,4,9,Potential Loyalists,3,High Value - Active
12350,310,1,334.4,1,1,2,4,Lost Customers,2,Low Value - Inactive
12352,36,8,2506.04,3,5,5,13,Champions,3,High Value - Active
12353,204,1,89.0,1,1,1,3,Lost Customers,0,Low Value - Inactive
12354,232,1,1079.4,1,1,4,6,At Risk,2,Low Value - Inactive
12355,214,1,459.4,1,1,2,4,Lost Customers,0,Low Value - Inactive
12356,23,3,2811.43,4,3,5,12,Loyal Customers,3,High Value - Active
12357,33,1,6207.67,4,1,5,10,Loyal Customers,3,High Value - Active
12358,2,2,1168.06,5,2,4,11,Loyal Customers,3,High Value - Active
12359,58,4,6372.58,3,4,5,12,Loyal Customers,3,High Value - Active
12360,52,3,2662.06,3,3,5,11,Loyal Customers,3,High Value - Active
12361,287,1,189.9,1,1,1,3,Lost Customers,2,Low Value - Inactive
12362,3,10,5226.23,5,5,5,15,Champions,3,High Value - Active
12363,110,2,552.0,2,2,3,7,Potential Loyalists,0,Low Value - Inactive
12364,8,4,1313.1,5,4,4,13,Champions,3,High Value - Active
12365,291,2,641.38,1,2,3,6,At Risk,2,Low Value - Inactive
12367,4,1,168.9,5,1,1,7,Potential Loyalists,3,High Value - Active
12370,51,4,3545.69,3,4,5,12,Loyal Customers,3,High Value - Active
12371,45,2,1887.96,3,2,4,9,Potential Loyalists,3,High Value - Active
12372,72,3,1298.04,3,3,4,10,Loyal Customers,3,High Value - Active
12373,311,1,364.6,1,1,2,4,Lost Customers,2,Low Value - Inactive
12374,25,1,742.9300000000001,4,1,3,8,Potential Loyalists,3,High Value - Active
12375,11,2,457.5,5,2,2,9,Potential Loyalists,3,High Value - Active
12377,315,2,1628.12,1,2,4,7,Potential Loyalists,2,Low Value - Inactive
12378,130,1,4008.62,2,1,5,8,Potential Loyalists,0,Low Value - Inactive
12379,82,2,852.24,2,2,3,7,Potential Loyalists,3,High Value - Active
12380,22,4,2724.81,4,4,5,13,Champions,3,High Value - Active
12381,5,5,1845.31,5,4,4,13,Champions,3,High Value - Active
12383,185,5,1850.56,1,4,4,9,Potential Loyalists,0,Low Value - Inactive
12384,29,2,585.27,4,2,3,9,Potential Loyalists,3,High Value - Active
12386,338,2,401.9,1,2,2,5,At Risk,2,Low Value - Inactive
12388,16,6,2780.66,4,4,5,13,Champions,3,High Value - Active
12390,80,1,549.84,2,1,3,6,At Risk,3,High Value - Active
12391,22,1,460.89,4,1,2,7,Potential Loyalists,3,High Value - Active
12393,72,4,1582.6000000000001,3,4,4,11,Loyal Customers,3,High Value - Active
12394,64,2,1272.48,3,2,4,9,Potential Loyalists,3,High Value - Active
12395,19,12,3018.63,4,5,5,14,Champions,3,High Value - Active
12397,36,2,2409.9,3,2,5,10,Loyal Customers,3,High Value - Active
12398,46,1,1635.6599999999999,3,1,4,8,Potential Loyalists,3,High Value - Active
12399,119,4,1108.65,2,4,4,10,Loyal Customers,0,Low Value - Inactive
12401,303,1,84.3,1,1,1,3,Lost Customers,2,Low Value - Inactive
12402,323,1,225.6,1,1,1,3,Lost Customers,2,Low Value - Inactive
12403,50,1,427.7,3,1,2,6,At Risk,3,High Value - Active
12405,149,1,1710.39,2,1,4,7,Potential Loyalists,0,Low Value - Inactive
12406,22,2,3415.3,4,2,5,11,Loyal Customers,3,High Value - Active
12407,50,5,1708.1200000000001,3,4,4,11,Loyal Customers,3,High Value - Active
12408,33,5,2888.55,4,4,5,13,Champions,3,High Value - Active
12409,79,3,11072.67,2,3,5,10,Loyal Customers,3,High Value - Active
12410,309,2,693.3299999999999,1,2,3,6,At Risk,2,Low Value - Inactive
12412,75,3,1226.88,2,3,4,9,Potential Loyalists,3,High Value - Active
12413,67,3,758.1,3,3,3,9,Potential Loyalists,3,High Value - Active
12414,217,3,562.41,1,3,3,7,Potential Loyalists,0,Low Value - Inactive
12415,24,21,124914.53,4,5,5,14,Champions,3,High Value - Active
12417,3,9,3649.1,5,5,5,15,Champions,3,High Value - Active
12418,113,1,668.58,2,1,3,6,At Risk,0,Low Value - Inactive
12420,64,1,600.39,3,1,3,7,Potential Loyalists,3,High Value - Active
12421,16,4,807.04,4,4,3,11,Loyal Customers,3,High Value - Active
12422,96,3,803.5600000000001,2,3,3,8,Potential Loyalists,0,Low Value - Inactive
12423,1,8,1859.31,5,5,4,14,Champions,3,High Value - Active
12424,163,2,1760.96,2,2,4,8,Potential Loyalists,0,Low Value - Inactive
12425,78,1,777.2,2,1,3,6,At Risk,3,High Value - Active
12426,195,1,582.73,1,1,3,5,At Risk,0,Low Value - Inactive
12427,22,3,825.8,4,3,3,10,Loyal Customers,3,High Value - Active
12428,26,9,7956.46,4,5,5,14,Champions,3,High Value - Active
12429,9,4,3750.4,5,4,5,14,Champions,3,High Value - Active
12430,43,1,256.4,3,1,2,6,At Risk,3,High Value - Active
12431,36,15,6487.45,3,5,5,13,Champions,3,High Value - Active
12432,43,5,5059.32,3,4,5,12,Loyal Customers,3,High Value - Active
12433,1,7,13375.87,5,5,5,15,Champions,3,High Value - Active
12434,85,2,806.14,2,2,3,7,Potential Loyalists,3,High Value - Active
12435,80,2,7829.89,2,2,5,9,Potential Loyalists,3,High Value - Active
12436,100,1,509.01,2,1,3,6,At Risk,0,Low Value - Inactive
12437,2,18,4951.41,5,5,5,15,Champions,3,High Value - Active
12438,14,2,2906.85,4,2,5,11,Loyal Customers,3,High Value - Active
12441,367,1,173.55,1,1,1,3,Lost Customers,2,Low Value - Inactive
12442,3,1,172.06,5,1,1,7,Potential Loyalists,3,High Value - Active
12444,21,5,5005.46,4,4,5,13,Champions,3,High Value - Active
12445,22,1,133.4,4,1,1,6,At Risk,3,High Value - Active
12446,58,1,1002.3100000000001,3,1,4,8,Potential Loyalists,3,High Value - Active
12447,243,1,476.49,1,1,2,4,Lost Customers,2,Low Value - Inactive
12448,44,1,449.45,3,1,2,6,At Risk,3,High Value - Active
12449,22,4,4067.29,4,4,5,13,Champions,3,High Value - Active
12450,156,2,197.88,2,2,1,5,At Risk,0,Low Value - Inactive
12451,11,5,9035.52,5,4,5,14,Champions,3,High Value - Active
12452,17,2,430.57,4,2,2,8,Potential Loyalists,3,High Value - Active
12453,134,1,707.09,2,1,3,6,At Risk,0,Low Value - Inactive
12454,56,1,3528.34,3,1,5,9,Potential Loyalists,3,High Value - Active
12455,73,6,2466.86,2,4,5,11,Loyal Customers,3,High Value - Active
12456,44,3,3181.04,3,3,5,11,Loyal Customers,3,High Value - Active
12457,66,7,2363.23,3,5,5,13,Champions,3,High Value - Active
12458,71,2,947.4,3,2,4,9,Potential Loyalists,3,High Value - Active
12461,94,2,826.88,2,2,3,7,Potential Loyalists,0,Low Value - Inactive
12462,19,2,1189.59,4,2,4,10,Loyal Customers,3,High Value - Active
12463,53,4,1344.78,3,4,4,11,Loyal Customers,3,High Value - Active
12464,10,8,1212.05,5,5,4,14,Champions,3,High Value - Active
12465,17,2,742.1899999999999,4,2,3,9,Potential Loyalists,3,High Value - Active
12468,188,2,729.5400000000001,1,2,3,6,At Risk,0,Low Value - Inactive
12471,2,30,19824.05,5,5,5,15,Champions,3,High Value - Active
12472,32,7,6572.11,4,5,5,14,Champions,3,High Value - Active
12473,29,5,3938.5499999999997,4,4,5,13,Champions,3,High Value - Active
12474,17,18,7375.79,4,5,5,14,Champions,3,High Value - Active
12475,54,1,723.38,3,1,3,7,Potential Loyalists,3,High Value - Active
12476,16,11,6816.42,4,5,5,14,Champions,3,High Value - Active
12477,23,6,13219.74,4,4,5,13,Champions,3,High Value - Active
12478,4,1,680.99,5,1,3,9,Potential Loyalists,3,High Value - Active
